"Бүс","Орлогын төрөл","2024"
"Баруун бүс","Цалин хөлс","807,341"
"Баруун бүс","Тэтгэвэр, тэтгэмж","552,855"
"Баруун бүс","Өрхийн үйлдвэрлэл, үйлчилгээний орлого","452,314"
"Баруун бүс","Бусад","134,928"
"Хангайн бүс","Цалин хөлс","850,404"
"Хангайн бүс","Тэтгэвэр, тэтгэмж","552,330"
"Хангайн бүс","Өрхийн үйлдвэрлэл, үйлчилгээний орлого","435,948"
"Хангайн бүс","Бусад","158,806"
"Төвийн бүс","Цалин хөлс","1,014,814"
"Төвийн бүс","Тэтгэвэр, тэтгэмж","516,042"
"Төвийн бүс","Өрхийн үйлдвэрлэл, үйлчилгээний орлого","362,016"
"Төвийн бүс","Бусад","65,125"
"Зүүн бүс","Цалин хөлс","730,460"
"Зүүн бүс","Тэтгэвэр, тэтгэмж","501,947"
"Зүүн бүс","Өрхийн үйлдвэрлэл, үйлчилгээний орлого","484,458"
"Зүүн бүс","Бусад","116,321"
"Улаанбаатар","Цалин хөлс","1,893,662"
"Улаанбаатар","Тэтгэвэр, тэтгэмж","566,821"
"Улаанбаатар","Өрхийн үйлдвэрлэл, үйлчилгээний орлого","212,760"
"Улаанбаатар","Бусад","239,222"
